taxonomy_key,names
baking soda,soda oczyszczona|wodorowęglan sodu
barley,jęczmień
bread,chleb
carrot,marchew
chicken,kurczak
chinese cabbage,kapusta pekińska
corn salad,roszponka
egg,jajko|jajo
feta,feta
fish oil,olej rybi|tran
greengage,renkloda
lamb meat,jagnięcina|mięso jagnięce
lime,limonka
oat,owies
paprika,papryka mielona|papryka w proszku
rapeseed oil,olej rzepakowy
soya bean,soja|ziarno soi
tangerine,mandarynka
trout,pstrąg
50 63 unsalted vegetable fat,tłuszcz roślinny 50-63% bez soli
50 63 unsalted vegetable fat high in omega 3,tłuszcz roślinny 50-63% bez soli bogaty w omega-3
50 63 unsalted vegetable fat with plant sterols esters,tłuszcz roślinny 50-63% bez soli z estrami steroli roślinnych
70 fat mayonnaise,majonez 70% tłuszczu
70 unsalted vegetable fat,tłuszcz roślinny 70% bez soli
80 fat salted butter,masło solone 80% tłuszczu
80 unsalted vegetable fat,tłuszcz roślinny 80% bez soli
82 fat unsalted butter,masło niesolone 82% tłuszczu
82 fat unsalted easy to spread butter,łatwe do smarowania masło niesolone 82% tłuszczu
abiyuch,abiyuch
abondance,ser abondance
acid whey,kwaśna serwatka
acorn,żołądź
alfalfa seeds,nasiona lucerny
almond oil,olej migdałowy
almond with skin,migdał ze skórką
amaranth leaves,liście amarantusa
american butterfish,masłowiec amerykański
ancho peppers,papryczki ancho
aniseseed,nasiona anyżu
antelope meat,mięso antylopy
apple pulp,miąższ jabłkowy
apples,jabłka
apricot juice,sok morelowy
apricot kernel oil,olej z pestek moreli
arrowhead,strzałka wodna
arrowroot,maranta trzcinowa
arrowroot powder,mąka z maranty
asian pear,gruszka azjatycka
babassu oil,olej babassu
baby carrots,młode marchewki
banana pepper,papryka bananowa
bayonne ham,szynka bajońska
bear meat,mięso niedźwiedzia
beaufort,ser beaufort
beaver meat,mięso bobra
beechnut,bukiew
beef kidney,nerka wołowa
beef tallow and cottonseed shortening,tłuszcz piekarski z łoju wołowego i oleju bawełnianego
beef tongue,język wołowy
beet greens,liście buraka
belgian endive,cykoria belgijska
bigeye scad,karanks ostroboki
bitter melon,gorzki melon
black gram,fasola mungo
black grape,czarne winogrono
black olives in oil,czarne oliwki w oleju
black pepper powder,mielony czarny pieprz
blanched hazelnut,blanszowany orzech laskowy
bleu d auvergne,ser bleu d'auvergne
bleu de gex,ser bleu de gex
blue cheese from cow s milk,ser pleśniowy z mleka krowiego
blue ling,molva niebieska
bluefish,tasergal
boabab,baobab
bottled pomegranate juice,butelkowany sok z granatu
breadfruit,owoc chlebowca
breadfruit seeds,nasiona chlebowca
breadnut tree seeds,nasiona orzesznika
bresaola,bresaola
brewed oolong tea without sugar,parzona herbata oolong bez cukru
brie,ser brie
brie de meaux,ser brie de meaux
brie de melun,ser brie de melun
brioche,brioszka
broccoli floret,różyczka brokułu
broccoli leaves,liście brokułu
broccoli raab,rapini
broccoli stalks,łodygi brokułu
brown rice flour,mąka z brązowego ryżu
buffalo milk,mleko bawole
bullocks heart,serce wołowe
burdock root,korzeń łopianu
buttermilk powder,maślanka w proszku
calf liver,wątroba cielęca
california avocado,awokado kalifornijskie
canadian maple syrup,kanadyjski syrop klonowy
canned capers,kapary konserwowe
canned carrot juice,sok marchwiowy konserwowy
canned concentrated tomato paste,koncentrat pomidorowy konserwowy
canned corn,kukurydza konserwowa
canned double concentrate tomato paste,podwójny koncentrat pomidorowy konserwowy
canned pimiento,papryka pimiento konserwowa
canned tuna,tuńczyk konserwowy
canola oil,olej canola
cantal cheese half matured from cow s milk,półdojrzały ser cantal z mleka krowiego
cantal salers,ser cantal salers
cardamom seed,nasiona kardamonu
caribou meat,mięso karibu
carissa,karissa
carp,karp
casaba,melon casaba
celtuce,sałata łodygowa
chaource cheese,ser chaource
chasselas,winogrono chasselas
chayotte,kolczoch jadalny
cheese sauce,sos serowy
cherry,wiśnia
chestnut flour,mąka kasztanowa
chicken wing meat and skin,mięso i skóra ze skrzydła kurczaka
chicory greens,liście cykorii
chili powder,chili w proszku
chilled orange juice,schłodzony sok pomarańczowy
chipolata slim sausage,cienka kiełbasa chipolata
chocolate powder,czekolada w proszku
chow mein chinese noodles,chiński makaron chow mein
cinnamon powder,cynamon w proszku
cisco,sielawa amerykańska
clementine,klementynka
cod liver fish oil,tran z wątroby dorsza
colby cheese,ser colby
cold pressed flaxseed oil,olej lniany tłoczony na zimno
collard greens,kapusta liściasta
colza oil,olej rzepikowy
common dab,zimnica
common ling,molva pospolita
compressed baker s yeast,prasowane drożdże piekarskie
comté,ser comté
condensed whole milk,zagęszczone mleko pełne
cooked sweet potato,gotowany batat
coppa,coppa
corinthian raisins,rodzynki korynckie
crabapples,dzikie jabłka
crottin cheese,ser crottin
crottin de chavignol cheese,ser crottin de chavignol
crude corn bran,surowe otręby kukurydziane
crude rice bran,surowe otręby ryżowe
cupu assu oil,olej cupuaçu
curry powder,curry w proszku
curry sauce,sos curry
cusk,miętus amerykański
custard apple,flaszowiec peruwiański
d anjou pear,gruszka d'Anjou
dandelion,mniszek lekarski
dark corn syrups,ciemny syrop kukurydziany
dark rye flour,ciemna mąka żytnia
dark seedless raisin,ciemne rodzynki bez pestek
decaffeinated coffee,kawa bezkofeinowa
decaffeinated instant coffee,kawa rozpuszczalna bezkofeinowa
deepwater redfish,karmazyn głębinowy
defatted peanut flour,odtłuszczona mąka arachidowa
defatted soy flour,odtłuszczona mąka sojowa
deglet nour dates,daktyle deglet nour
dehydrated and reconstituted tomato soup,odwodniona i odtworzona zupa pomidorowa
dehydrated beef stock,odwodniony bulion wołowy
dehydrated poultry fond,odwodniony fond drobiowy
dehydrated poultry stock,odwodniony bulion drobiowy
dehydrated veal fond,odwodniony fond cielęcy
desiccated coconut,suszony kokos
dill seed,nasiona kopru
dishcloth,trukwa
dock,szczaw
dried acid whey,suszona kwaśna serwatka
dried broad bean,suszony bób
dried cep,suszony borowik
dried chervil,suszona trybula
dried chickpea,suszona ciecierzyca
dried coriander leaf,suszone liście kolendry
dried dill,suszony koperek
dried goji berries,suszone jagody goji
dried hyacinth bean,suszona fasola hiacyntowa
dried japanese persimmon,suszona kaki
dried lentils,suszona soczewica
dried marjoram,suszony majeranek
dried pasta,suszony makaron
dried peach,suszona brzoskwinia
dried rosemary,suszony rozmaryn
dried sage,suszona szałwia
dried spearmint,suszona mięta zielona
dried thyme,suszony tymianek
dried tomatoes,suszone pomidory
dried whole egg,suszone całe jajko
dried yolk egg,suszone żółtko jajka
drumstick leaves,liście moringi
drumstick pods,strąki moringi
dry cured ham,szynka dojrzewająca
